Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Year,Month,Quarter,DayOfWeek,Delivery_Days,Profit_Margin,Sales_Per_Quantity,Is_Discounted,High_Value_Transaction
0,0,1,1,2.264,1,0.8,2014,6,2,4,4,-230.00000000000003,2.264,1,0
0,1,1,14,248.57,7,0.0,2014,7,3,1,6,27.0,35.51,0,1
0,3,1,15,47.992,7,0.2,2011,11,4,2,6,7.500000000000001,6.856,1,0
0,2,1,14,95.94,3,0.0,2014,12,4,4,3,10.0,31.98,0,0
0,3,0,9,30.8,4,0.0,2013,7,3,0,4,32.99999999999999,7.7,0,0
0,0,1,2,32.064,6,0.2,2011,9,3,3,4,21.25,5.344,1,0
1,0,0,4,1227.9984,6,0.32,2012,3,1,3,3,-2.9411764705882355,204.66639999999998,1,1
1,3,1,14,99.87,3,0.0,2014,9,3,2,5,24.000000000000004,33.29,0,0
0,0,1,14,32.592,3,0.2,2011,12,4,0,6,-23.75,10.863999999999999,1,0
0,0,1,3,40.2,5,0.0,2011,4,2,1,2,44.99999999999999,8.040000000000001,0,0
0,3,0,5,883.84,4,0.2,2012,11,4,2,5,11.25,220.96,1,1
0,1,1,12,19.65,3,0.0,2011,6,2,1,3,46.0,6.55,0,0
1,3,0,9,22.72,1,0.0,2014,10,4,3,5,41.0,22.72,0,0
0,3,0,16,626.352,3,0.2,2011,3,1,3,4,-3.75,208.784,1,1
1,3,0,4,435.999,3,0.15,2011,9,3,4,5,4.705882352941177,145.333,1,1
0,2,2,13,377.97,3,0.0,2014,5,2,1,4,25.999999999999996,125.99000000000001,0,1
1,2,1,10,9.216,4,0.2,2013,8,3,2,6,36.25000000000001,2.304,1,0
1,3,0,4,424.9575,5,0.15,2013,9,3,4,5,4.7058823529411775,84.9915,1,1
0,2,0,16,356.85,5,0.0,2014,10,4,0,6,17.0,71.37,0,1
1,3,1,1,69.48,1,0.0,2014,12,4,1,4,30.0,69.48,0,0
0,0,1,14,91.99,1,0.0,2014,12,4,1,6,4.000000000000001,91.99,0,0
2,0,0,5,563.94,3,0.0,2013,12,4,3,3,20.0,187.98000000000002,0,1
1,1,1,3,895.92,5,0.2,2014,8,3,0,2,33.75,179.184,1,1
2,3,1,3,59.808,3,0.2,2011,6,2,3,5,32.5,19.936,1,0
2,3,1,12,45.36,4,0.0,2014,11,4,4,0,49.00000000000001,11.34,0,0
2,3,1,3,4535.976,3,0.2,2013,10,4,1,5,36.25000000000001,1511.992,1,1
1,0,2,13,114.95,5,0.0,2013,12,4,0,4,2.0,22.990000000000002,0,0
1,0,1,10,6.264,3,0.2,2012,7,3,1,7,32.5,2.088,1,0
2,0,1,10,24.424,1,0.2,2011,10,4,3,2,32.5,24.424,1,0
1,2,1,3,78.6,5,0.7,2012,6,2,0,1,-80.0,15.719999999999999,1,0
0,3,1,14,29.304,3,0.2,2012,3,1,1,2,8.75,9.767999999999999,1,0
0,2,1,1,98.352,3,0.2,2012,11,4,4,3,10.0,32.784,1,0
0,1,1,7,39.98,1,0.0,2012,9,3,0,5,45.0,39.98,0,0
0,3,0,9,201.04,8,0.0,2014,12,4,6,5,27.0,25.13,0,0
0,2,1,2,47.616,3,0.2,2013,1,1,1,5,12.5,15.872,1,0
1,1,0,9,39.88,2,0.0,2013,11,4,5,4,27.999999999999996,19.94,0,0
0,1,1,10,16.52,4,0.0,2012,3,1,2,4,46.0,4.13,0,0
0,3,2,11,1039.992,1,0.2,2014,11,4,5,4,10.0,1039.992,1,1
0,2,0,9,77.952,3,0.2,2012,12,4,0,4,16.25,25.983999999999998,1,0
1,1,1,14,32.544,2,0.2,2013,11,4,4,6,-23.75,16.272,1,0
2,3,0,5,1603.136,4,0.2,2013,11,4,4,5,6.25,400.784,1,1
2,2,0,9,111.15,5,0.0,2011,11,4,3,5,43.99999999999999,22.23,0,0
0,2,0,5,350.98,1,0.0,2013,9,3,3,5,24.0,350.98,0,1
0,1,1,8,5.984,2,0.2,2013,3,1,5,4,-22.5,2.992,1,0
0,3,0,5,1013.488,7,0.2,2013,1,1,0,2,7.5,144.78400000000002,1,1
1,1,1,12,80.88,3,0.0,2012,7,3,0,3,49.00000000000001,26.959999999999997,0,0
0,1,2,13,1299.66,2,0.0,2014,9,3,6,6,27.0,649.83,0,1
2,0,1,10,51.75,5,0.0,2013,11,4,2,5,48.0,10.35,0,0
1,3,1,1,43.56,2,0.0,2012,9,3,4,3,35.0,21.78,0,0
0,1,2,0,89.97,3,0.0,2013,12,4,4,5,21.0,29.99,0,0
0,1,1,14,535.41,3,0.0,2012,5,2,0,5,30.0,178.47,0,1
0,0,1,2,13.12,5,0.2,2012,12,4,0,5,11.25,2.6239999999999997,1,0
0,2,1,1,24.472,7,0.2,2014,6,2,2,7,7.5,3.496,1,0
0,1,1,2,263.88,6,0.0,2013,4,2,1,2,27.0,43.98,0,1
0,3,1,10,29.6,2,0.0,2013,9,3,3,6,50.0,14.8,0,0
0,3,1,2,38.256,3,0.2,2011,9,3,5,5,12.5,12.752,1,0
0,3,0,16,1298.55,5,0.0,2011,10,4,3,2,24.0,259.71,0,1
0,1,1,3,13.128,3,0.2,2014,6,2,4,6,32.5,4.376,1,0
0,2,1,12,15.552,3,0.2,2014,6,2,2,7,35.0,5.184,1,0
1,1,1,8,7.24,4,0.0,2012,9,3,4,5,33.0,1.81,0,0
1,3,1,12,19.608,3,0.2,2014,11,4,1,4,33.75,6.5360000000000005,1,0
0,1,2,0,843.9,2,0.0,2012,12,4,1,5,44.0,421.95,0,1
0,1,1,2,119.04,6,0.0,2014,7,3,3,6,41.0,19.84,0,0
0,2,1,15,52.136,7,0.2,2013,11,4,3,4,11.25,7.448,1,0
0,1,1,12,48.94,1,0.0,2011,9,3,4,4,50.0,48.94,0,0
0,2,1,2,4.224,3,0.2,2011,11,4,1,6,11.25,1.4080000000000001,1,0
0,1,1,14,68.6,4,0.0,2013,11,4,2,5,27.0,17.15,0,0
0,0,1,3,32.784,4,0.8,2014,1,1,3,3,-160.0,8.196,1,0
1,1,1,3,3.744,1,0.2,2014,8,3,0,5,35.0,3.744,1,0
0,2,1,14,67.344,6,0.2,2011,9,3,0,5,11.250000000000002,11.223999999999998,1,0
0,0,1,2,79.36,4,0.0,2011,4,2,0,5,30.0,19.84,0,0
0,1,1,14,16.768,2,0.2,2014,4,2,5,4,8.75,8.384,1,0
0,1,1,14,25.984,1,0.2,2011,7,3,2,0,-20.0,25.984,1,0
1,3,2,0,99.99,1,0.0,2014,11,4,0,5,44.00000000000001,99.99,0,0
0,2,2,0,79.96,4,0.0,2012,8,3,4,4,23.0,19.99,0,0
0,0,1,14,211.96,4,0.0,2011,10,4,3,5,4.0,52.99,0,1
0,1,1,7,3.264,2,0.2,2012,9,3,0,4,33.75,1.632,1,0
0,0,1,2,23.832,3,0.2,2014,3,1,2,4,27.499999999999996,7.944,1,0
0,2,1,7,11.09,1,0.0,2013,9,3,3,5,49.0,11.09,0,0
1,0,0,5,872.94,3,0.0,2014,12,4,2,4,26.0,290.98,0,1
0,0,1,8,4.344,3,0.2,2013,11,4,0,2,20.0,1.4480000000000002,1,0
1,0,2,13,946.344,7,0.2,2012,9,3,4,3,12.5,135.192,1,1
