iter	RMSE
0	234.6779252
1	232.0312541
2	229.5047195
3	226.9021819
4	224.2669729
5	222.1635044
6	220.1642728
7	217.8598304
8	215.5512424
9	213.549083
10	211.9518581
11	210.1469106
12	208.4829031
13	206.4554028
14	204.2041939
15	201.9288102
16	200.2384759
17	198.3414018
18	196.8420927
19	195.4515711
20	193.6743519
21	192.1597335
22	190.5297852
23	189.0888853
24	187.8694204
25	186.1447568
26	184.5514159
27	182.8629807
28	181.3106522
29	179.6832402
30	178.599129
31	177.5102189
32	176.131447
33	175.3461723
34	174.1082826
35	173.1428543
36	172.1584695
37	170.9414911
38	169.7398957
39	168.5449682
40	167.0180693
41	166.3076025
42	165.0490144
43	164.0197436
44	162.8385535
45	161.7976448
46	160.7033345
47	159.5735435
48	158.6922768
49	157.8376825
